event_id,event_title,event_type,date,prefecture,regulation,capacity,total_results
952859,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,神奈川県,スタンダード,64,16
952860,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,新潟県,スタンダード,64,16
952861,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,神奈川県,スタンダード,64,8
952862,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,神奈川県,スタンダード,64,16
952863,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,神奈川県,スタンダード,64,16
952864,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,神奈川県,スタンダード,64,16
952865,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,神奈川県,スタンダード,64,16
952866,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-17,神奈川県,スタンダード,64,16
952867,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,神奈川県,スタンダード,64,16
952868,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,神奈川県,スタンダード,64,16
952869,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,新潟県,スタンダード,64,16
952870,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,神奈川県,スタンダード,64,16
952871,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,福井県,スタンダード,64,8
952872,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,長野県,スタンダード,64,16
952873,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,神奈川県,スタンダード,64,16
952874,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-24,神奈川県,スタンダード,64,16
952875,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-31,神奈川県,スタンダード,64,16
952876,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,石川県,スタンダード,64,16
952877,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,長野県,スタンダード,64,16
952878,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,神奈川県,スタンダード,64,16
952879,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,神奈川県,スタンダード,64,16
952880,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,神奈川県,スタンダード,64,16
952881,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,福井県,スタンダード,64,16
952882,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,長野県,スタンダード,64,16
952883,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,神奈川県,スタンダード,64,16
952884,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,神奈川県,スタンダード,64,16
952885,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,神奈川県,スタンダード,64,16
952886,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,神奈川県,スタンダード,64,16
952887,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,神奈川県,スタンダード,64,16
952888,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-07,神奈川県,スタンダード,64,16
952889,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,石川県,スタンダード,64,16
952890,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,神奈川県,スタンダード,64,16
952891,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,新潟県,スタンダード,64,16
952892,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,新潟県,スタンダード,64,16
952893,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,福井県,スタンダード,64,16
952894,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,長野県,スタンダード,64,16
952895,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,神奈川県,スタンダード,64,16
952896,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,神奈川県,スタンダード,64,16
952897,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,神奈川県,スタンダード,64,16
952898,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,神奈川県,スタンダード,64,16
952899,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,神奈川県,スタンダード,64,16
952900,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,神奈川県,スタンダード,64,16
952901,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-14,神奈川県,スタンダード,64,16
952941,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,岐阜県,スタンダード,64,16
952942,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,香川県,スタンダード,64,16
952943,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,大阪府,スタンダード,64,16
952944,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,大阪府,スタンダード,64,16
952945,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,広島県,スタンダード,64,16
952946,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,三重県,スタンダード,64,8
952947,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,徳島県,スタンダード,64,16
952948,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,兵庫県,スタンダード,64,16
952949,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,愛知県,スタンダード,64,16
952950,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,奈良県,スタンダード,64,16
952951,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,三重県,スタンダード,64,16
952952,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-16,滋賀県,スタンダード,64,4
952953,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-17,大阪府,スタンダード,64,16
952954,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-17,大阪府,スタンダード,64,8
952955,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-18,広島県,スタンダード,64,16
952956,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-18,大阪府,スタンダード,64,16
952957,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-18,京都府,スタンダード,64,16
952958,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-19,奈良県,スタンダード,64,8
952959,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-19,大阪府,スタンダード,64,16
952960,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,岐阜県,スタンダード,64,8
952961,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,愛知県,スタンダード,64,8
952962,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,愛媛県,スタンダード,64,16
952963,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,愛知県,スタンダード,64,16
952964,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,静岡県,スタンダード,64,16
952965,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,大阪府,スタンダード,64,16
952966,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,大阪府,スタンダード,64,16
952967,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,大阪府,スタンダード,64,16
952968,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,高知県,スタンダード,64,16
952969,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,香川県,スタンダード,64,16
952970,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,愛知県,スタンダード,64,16
952971,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,愛知県,スタンダード,64,16
952972,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,愛知県,スタンダード,64,16
952973,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,岐阜県,スタンダード,64,8
952974,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,愛知県,スタンダード,64,16
952975,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,岐阜県,スタンダード,64,16
952976,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,滋賀県,スタンダード,64,16
952977,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,静岡県,スタンダード,64,16
952978,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,大阪府,スタンダード,64,16
952979,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,岡山県,スタンダード,64,16
952980,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,兵庫県,スタンダード,64,16
952981,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,愛知県,スタンダード,64,16
952982,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-23,大阪府,スタンダード,64,16
952983,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-24,大阪府,スタンダード,64,16
952984,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-25,愛知県,スタンダード,64,16
952985,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-25,和歌山県,スタンダード,64,16
952986,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-25,大阪府,スタンダード,64,16
952987,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-26,大阪府,スタンダード,64,16
952988,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-26,滋賀県,スタンダード,64,16
952989,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-31,大阪府,スタンダード,64,16
952990,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-01,大阪府,スタンダード,64,16
952991,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-02,愛知県,スタンダード,64,16
952992,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,大阪府,スタンダード,64,16
952993,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,静岡県,スタンダード,64,16
952994,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,岐阜県,スタンダード,64,16
952995,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,鳥取県,スタンダード,64,16
952996,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,愛知県,スタンダード,64,16
952997,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,滋賀県,スタンダード,64,16
